deck,deck-href,hero,card,rating
"""pRay & Scream"",Token Version including mill mechanics.","http://www.hearthpwn.com/decks/161602-pray-scream-token-version-including-mill","Druid Cards","Innervate

× 2","+15"
"Powder's Scary Stuff - Battle of the Best #3 (#1 - 2015)","http://www.hearthpwn.com/decks/187039-powders-scary-stuff-battle-of-the-best-3-1-2015","Warlock Cards","Defender of Argus

× 1","+3"
"HandGanis (Anti-Mech mage/aggro)","http://www.hearthpwn.com/decks/159435-handganis-anti-mech-mage-aggro","Warlock Cards","Mal'Ganis

× 1","+53"
"Gazlowe Warlock [Mech Zoo]","http://www.hearthpwn.com/decks/197412-gazlowe-warlock-mech-zoo","Warlock Cards","Flame Imp

× 2","+5"
"[Spark] Snake Bite (S11 Beast Synergy)","http://www.hearthpwn.com/decks/186065-spark-snake-bite-s11-beast-synergy","Hunter Cards","Mad Scientist

× 2","+390"
"[Legend] RNG Mechrattle Control Mage","http://www.hearthpwn.com/decks/183731-legend-rng-mechrattle-control-mage","Mage Cards","Cult Master

× 1","+3"
"Antimeta/ranking Priest","http://www.hearthpwn.com/decks/202586-antimeta-ranking-priest","Priest Cards","Lightbomb

× 1","+7"
"Funadin [low cost]","http://www.hearthpwn.com/decks/162474-funadin-low-cost","Paladin Cards","Shielded Minibot

× 2","+3"
"*NEW META* Midrange/Aggro Mech Hunter","http://www.hearthpwn.com/decks/183817-new-meta-midrange-aggro-mech-hunter","Hunter Cards","Unleash the Hounds

× 1","+70"
"GvG Floating Deathrattle Zoo","http://www.hearthpwn.com/decks/148610-gvg-floating-deathrattle-zoo","Warlock Cards","Leper Gnome

× 2","+4"
"[LEGEND] Secret Mage - Marchosias","http://www.hearthpwn.com/decks/202728-legend-secret-mage-marchosias","Mage Cards","Snowchugger

× 1","+4"
"Reynad's Mage - Battle of the Best #3 (#1 - 2015)","http://www.hearthpwn.com/decks/187001-reynads-mage-battle-of-the-best-3-1-2015","Mage Cards","Mechwarper

× 2","+33"
"Beastymcbeast","http://www.hearthpwn.com/decks/199050-beastymcbeast","Hunter Cards","Loatheb

× 1","+3"
"[#12 Legend NA] Nomodogan's Chow Bomber Warrior","http://www.hearthpwn.com/decks/201311-12-legend-na-nomodogans-chow-bomber-warrior","Warrior Cards","Sludge Belcher

× 2","+4"
"shadow priest 80% winrate","http://www.hearthpwn.com/decks/161924-shadow-priest-80-winrate","Priest Cards","Mind Control

× 1","+4"
"[LEGEND] Savjz Paladin","http://www.hearthpwn.com/decks/189952-legend-savjz-paladin","Paladin Cards","Quartermaster

× 2","+4"
"Basic Mage vs Heroic Noth","http://www.hearthpwn.com/decks/183957-basic-mage-vs-heroic-noth","Mage Cards","Polymorph

× 2","+3"
"[Legend] Watcher Druid GvG","http://www.hearthpwn.com/decks/201568-legend-watcher-druid-gvg","Druid Cards","Azure Drake

× 2","+45"
"-DemonLock- From Kolento Senpai","http://www.hearthpwn.com/decks/193476-demonlock-from-kolento-senpai","Warlock Cards","Sylvanas Windrunner

× 1","+40"
"[Legend] Bav OG Deck 5.0","http://www.hearthpwn.com/decks/192387-legend-bav-og-deck-5-0","Paladin Cards","Guardian of Kings

× 2","+3"
"Miracle Rogue","http://www.hearthpwn.com/decks/62328-miracle-rogue","Rogue Cards","Dr. Boom

× 1","+3"
"Revival of Secret Mage","http://www.hearthpwn.com/decks/131328-revival-of-secret-mage","Mage Cards","Loot Hoarder

× 2","+3"
"Junklock","http://www.hearthpwn.com/decks/193823-junklock","Warlock Cards","Hellfire

× 2","+4"
"[S11 #79 Legend EU] Dedicated Control Mage","http://www.hearthpwn.com/decks/197784-s11-79-legend-eu-dedicated-control-mage","Mage Cards","Fireball

× 2","+4"
"Xzirez: ""Control"" Hunter","http://www.hearthpwn.com/decks/190887-xzirez-control-hunter","Hunter Cards","Webspinner

× 2","+41"
"Silentstorm's ESL Demonlock","http://www.hearthpwn.com/decks/199989-silentstorms-esl-demonlock","Warlock Cards","Sylvanas Windrunner

× 1","+79"
"Zalae's Warrior - ESL Legendary Series Winter 2014/2015 Grand Finals","http://www.hearthpwn.com/decks/200771-zalaes-warrior-esl-legendary-series-winter-2014","Warrior Cards","Death's Bite

× 2","+4"
"[#4 LEGEND] Joster Paladin- anti meta deck","http://www.hearthpwn.com/decks/202399-4-legend-joster-paladin-anti-meta-deck","Paladin Cards","Sylvanas Windrunner

× 1","+14"
"Rebirth - The ultimate FUN and EFFICIENT deck","http://www.hearthpwn.com/decks/174537-rebirth-the-ultimate-fun-and-efficient-deck","Shaman Cards","Feral Spirit

× 1","+76"
"[Legend] Watcher Druid GvG","http://www.hearthpwn.com/decks/201568-legend-watcher-druid-gvg","Druid Cards","Big Game Hunter

× 1","+45"
"Trump Teachings Paladin","http://www.hearthpwn.com/decks/190788-trump-teachings-paladin","Paladin Cards","Consecration

× 2","+5"
"Tempo Antispell","http://www.hearthpwn.com/decks/159680-tempo-antispell","Rogue Cards","Sabotage

× 2","+4"
"[Brodos] #5 Legend Priest ""By Light Be Purged""","http://www.hearthpwn.com/decks/170419-brodos-5-legend-priest-by-light-be-purged","Priest Cards","Auchenai Soulpriest

× 2","+12"
"Heavy Weapon Rouge (#2 Legend)","http://www.hearthpwn.com/decks/172987-heavy-weapon-rouge-2-legend","Rogue Cards","Goblin Auto-Barber

× 2","+18"
"Mech-Blingtron","http://www.hearthpwn.com/decks/151512-mech-blingtron","Rogue Cards","Goblin Auto-Barber

× 1","+3"
"[Top 50 Legend] Spell's Apprentice","http://www.hearthpwn.com/decks/196314-top-50-legend-spells-apprentice","Mage Cards","Mad Scientist

× 2","+18"
"a Little Greedy - by Kripparian","http://www.hearthpwn.com/decks/190806-a-little-greedy-by-kripparian","Priest Cards","Circle of Healing

× 2","+25"
"The Archive (2)","http://www.hearthpwn.com/decks/196544-the-archive-2","Mage Cards","Fireball

× 2","+3"
"[Spark] Gazlowe & Friends (S9)","http://www.hearthpwn.com/decks/138530-spark-gazlowe-friends-s9","Rogue Cards","Goblin Auto-Barber

× 2","+152"
"[Arena] 12:0 Deck","http://www.hearthpwn.com/decks/197203-arena-12-0-deck","Shaman Cards","Chillwind Yeti

× 2","+3"
"Randuin Wrynn the RNG Prophet (GvG)","http://www.hearthpwn.com/decks/142054-randuin-wrynn-the-rng-prophet-gvg","Priest Cards","Ragnaros the Firelord

× 1","+4"
"GvG Control hunter","http://www.hearthpwn.com/decks/153725-gvg-control-hunter","Hunter Cards","Kezan Mystic

× 1","+4"
"Tempolamea","http://www.hearthpwn.com/decks/186012-tempolamea","Warrior Cards","Grommash Hellscream

× 1","+3"
"Reynad's Druid - Battle of the Best #3 (#1 - 2015)","http://www.hearthpwn.com/decks/187002-reynads-druid-battle-of-the-best-3-1-2015","Druid Cards","Force of Nature

× 1","+3"
"Mystery Mage: super cheap aggro-ish mage deck","http://www.hearthpwn.com/decks/114619-mystery-mage-super-cheap-aggro-ish-mage-deck","Mage Cards","Ice Lance

× 2","+3"
"*LEGEND* Emailsupport's very slow Control Pally","http://www.hearthpwn.com/decks/193227-legend-emailsupports-very-slow-control-pally","Paladin Cards","Sen'jin Shieldmasta

× 1","+6"
"GVG Control Warrior","http://www.hearthpwn.com/decks/127159-gvg-control-warrior","Warrior Cards","Shieldmaiden

× 2","+3"
"Stealth Mage (NEW MAGE)","http://www.hearthpwn.com/decks/197214-stealth-mage-new-mage","Mage Cards","Shade of Naxxramas

× 2","+20"
"Basic Freeze Mage","http://www.hearthpwn.com/decks/201113-basic-freeze-mage","Mage Cards","Shattered Sun Cleric

× 2","+5"
"[Non-Legend Rank 1] Constantine!","http://www.hearthpwn.com/decks/186155-non-legend-rank-1-constantine","Warlock Cards","Floating Watcher

× 2","+13"
"Savjz's Season 11 Miracle Rogue Deck!","http://www.hearthpwn.com/decks/186247-savjzs-season-11-miracle-rogue-deck","Rogue Cards","Sabotage

× 1","+3"
"#1 Legend - 70 winrate metabreaker  Loyan's/11point5ft deck","http://www.hearthpwn.com/decks/199368-1-legend-70-winrate-metabreaker-loyans-11point5ft","Shaman Cards","Neptulon

× 1","+172"
"SimplyWarrior for Beginners","http://www.hearthpwn.com/decks/151776-simplywarrior-for-beginners","Warrior Cards","Arathi Weaponsmith

× 1","+4"
"Anti zoo (semi-budget)","http://www.hearthpwn.com/decks/104696-anti-zoo-semi-budget","Paladin Cards","Argent Squire

× 2","+3"
"Brave the Elements","http://www.hearthpwn.com/decks/33497-brave-the-elements","Shaman Cards","Harvest Golem

× 1","+5"
"[EU LEGEND] The Maximum Huntard Experience by Confidant","http://www.hearthpwn.com/decks/185876-eu-legend-the-maximum-huntard-experience-by","Hunter Cards","Mad Scientist

× 2","+14"
"John Voukenas 2.0 Control Deck","http://www.hearthpwn.com/decks/197669-john-voukenas-2-0-control-deck","Priest Cards","Shadow Word: Death

× 2","+4"
"Value Control [16 wins, 2 losses]","http://www.hearthpwn.com/decks/185745-value-control-16-wins-2-losses","Warrior Cards","Ragnaros the Firelord

× 1","+28"
"[S11 Legend] Extra Mustard!!!","http://www.hearthpwn.com/decks/199370-s11-legend-extra-mustard","Paladin Cards","Tirion Fordring

× 1","+4"
"SHAMLOCKS","http://www.hearthpwn.com/decks/183859-shamlocks","Shaman Cards","Mana Tide Totem

× 1","+4"
"Giordy's Ultimate Midrange Hunter","http://www.hearthpwn.com/decks/184979-giordys-ultimate-midrange-hunter","Hunter Cards","Mad Scientist

× 2","+3"
"Mekginner mech?","http://www.hearthpwn.com/decks/200822-mekginner-mech","Mage Cards","Arcane Missiles

× 2","+3"
"[Aggro] 60%+ Win Rate S11 Mech Rush (No Antonidas)","http://www.hearthpwn.com/decks/189508-aggro-60-win-rate-s11-mech-rush-no-antonidas","Mage Cards","Mad Scientist

× 2","+23"
"(STRONG LANGUAGE) FUCK YOU MECH MAGE","http://www.hearthpwn.com/decks/187357-strong-language-fuck-you-mech-mage","Warrior Cards","Explosive Sheep

× 1","+7"
"Handlock","http://www.hearthpwn.com/decks/184011-handlock","Warlock Cards","The Black Knight

× 1","+3"
"Current Meta Ramp Dru Lvls 1-5+","http://www.hearthpwn.com/decks/200660-current-meta-ramp-dru-lvls-1-5","Druid Cards","Druid of the Claw

× 2","+7"
"Kolento cheap demonlock","http://www.hearthpwn.com/decks/189561-kolento-cheap-demonlock","Warlock Cards","Mistress of Pain

× 2","+5"
"Rank 5 Kel'Thuzad Midrange Hunter","http://www.hearthpwn.com/decks/198545-rank-5-kelthuzad-midrange-hunter","Hunter Cards","Knife Juggler

× 2","+3"
"[LEGEND Top 100] Gyrgontex's Total stability druid season 10!","http://www.hearthpwn.com/decks/161463-legend-top-100-gyrgontexs-total-stability-druid","Druid Cards","Savage Roar

× 2","+81"
"<Spices> Zoo lock [no undertaker]","http://www.hearthpwn.com/decks/154517-spices-zoo-lock-no-undertaker","Warlock Cards","Leper Gnome

× 2","+5"
"Razoir's Last Boss - Legend Minion Mage","http://www.hearthpwn.com/decks/159244-razoirs-last-boss-legend-minion-mage","Mage Cards","Sneed's Old Shredder

× 1","+235"
"Trump Basic Mage","http://www.hearthpwn.com/decks/187180-trump-basic-mage","Mage Cards","Gurubashi Berserker

× 2","+3"
"Real Control Hunter (The Secret Way of Victory)","http://www.hearthpwn.com/decks/192028-real-control-hunter-the-secret-way-of-victory","Hunter Cards","Hunter's Mark

× 1","+13"
"Wheelchair Accessable (Post Undertaker Nerf Ramp)","http://www.hearthpwn.com/decks/183933-wheelchair-accessable-post-undertaker-nerf-ramp","Druid Cards","Zombie Chow

× 1","+100"
"Immunadin!","http://www.hearthpwn.com/decks/198465-immunadin","Paladin Cards","The Black Knight

× 1","+3"
"[LEGEND] Murlocadin","http://www.hearthpwn.com/decks/185031-legend-murlocadin","Paladin Cards","Murloc Tidecaller

× 2","+30"
"Firebat's Miracle - Battle of the Best #3 (#1 - 2015)","http://www.hearthpwn.com/decks/187055-firebats-miracle-battle-of-the-best-3-1-2015","Rogue Cards","Deadly Poison

× 2","+4"
"NA Legend Rank Priest Control","http://www.hearthpwn.com/decks/197680-na-legend-rank-priest-control","Priest Cards","Magma Rager

× 2","+4"
"GvG burst Shaman","http://www.hearthpwn.com/decks/201058-gvg-burst-shaman","Shaman Cards","Lightning Storm

× 2","+4"
"[GvG] Netherlock","http://www.hearthpwn.com/decks/103995-gvg-netherlock","Warlock Cards","Sludge Belcher

× 2","+44"
"Savjz deck Rank 1 EU","http://www.hearthpwn.com/decks/190070-savjz-deck-rank-1-eu","Druid Cards","Ancient of Lore

× 2","+6"
"New Age Hobgoblin Zoo (Updated Daily)","http://www.hearthpwn.com/decks/200016-new-age-hobgoblin-zoo-updated-daily","Warlock Cards","Imp-losion

× 2","+16"
"[Legend] Midrange Shaman 85% winrate Rank 5-Legend","http://www.hearthpwn.com/decks/172893-legend-midrange-shaman-85-winrate-rank-5-legend","Shaman Cards","Sylvanas Windrunner

× 1","+51"
"Slow Legendary Control warrior","http://www.hearthpwn.com/decks/196370-slow-legendary-control-warrior","Warrior Cards","Gorehowl

× 1","+3"
"Aidra Fox - Porn Lust Experience [Update 2.5]","http://www.hearthpwn.com/decks/56838-aidra-fox-porn-lust-experience-update-2-5","Shaman Cards","Rockbiter Weapon

× 2","+7"
"[Spark] Deadly Zoo (S6)","http://www.hearthpwn.com/decks/100428-spark-deadly-zoo-s6","Hunter Cards","Loot Hoarder

× 1","+117"
"Low cost aggro mech rogue no legendaries","http://www.hearthpwn.com/decks/167446-low-cost-aggro-mech-rogue-no-legendaries","Rogue Cards","Annoy-o-Tron

× 2","+36"
"[Spark] Pyromaniac Secrets (S2)","http://www.hearthpwn.com/decks/58745-spark-pyromaniac-secrets-s2","Hunter Cards","The Black Knight

× 1","+320"
"[UPDATED][LumaLapis] Tempo Ooze Shaman","http://www.hearthpwn.com/decks/187227-updated-lumalapis-tempo-ooze-shaman","Shaman Cards","Dr. Boom

× 1","+11"
"[AntiMeta] MoltenPally","http://www.hearthpwn.com/decks/199912-antimeta-moltenpally","Paladin Cards","Dr. Boom

× 1","+7"
"[LEGEND] Grinding Huntards","http://www.hearthpwn.com/decks/183686-legend-grinding-huntards","Shaman Cards","Antique Healbot

× 1","+6"
"Midrange/control mage","http://www.hearthpwn.com/decks/197537-midrange-control-mage","Mage Cards","Sylvanas Windrunner

× 1","+5"
"From the Shadows","http://www.hearthpwn.com/decks/160851-from-the-shadows","Rogue Cards","Sap

× 1","+7"
"""pRay & Scream"",Token Version including mill mechanics.","http://www.hearthpwn.com/decks/161602-pray-scream-token-version-including-mill","Druid Cards","Hobgoblin

× 2","+15"
"Xixo's DemonLock Kinguin Spring","http://www.hearthpwn.com/decks/202655-xixos-demonlock-kinguin-spring","Warlock Cards","Voidcaller

× 2","+3"
"Basic Freeze Mage","http://www.hearthpwn.com/decks/201113-basic-freeze-mage","Mage Cards","Frostbolt

× 2","+5"
"Legend Demon Zoolock | 75% Winrate into Legend","http://www.hearthpwn.com/decks/199296-legend-demon-zoolock-75-winrate-into-legend","Warlock Cards","Dark Iron Dwarf

× 2","+6"
"Kel'thuzad Token Druid","http://www.hearthpwn.com/decks/186636-kelthuzad-token-druid","Druid Cards","Wild Growth

× 1","+18"
"Savjz deck Rank 1 EU","http://www.hearthpwn.com/decks/190070-savjz-deck-rank-1-eu","Druid Cards","Innervate

× 2","+6"
"t6/backspace rogue for gvg meta","http://www.hearthpwn.com/decks/190246-t6-backspace-rogue-for-gvg-meta","Rogue Cards","Preparation

× 2","+3"
"priestarenarenarenarena","http://www.hearthpwn.com/decks/200063-priestarenarenarenarena","Priest Cards","Stormpike Commando

× 1","+4"
"Impose Your Will","http://www.hearthpwn.com/decks/142686-impose-your-will","Warrior Cards","Execute

× 2","+5"
"Custom deck by arabella-easy to play and win","http://www.hearthpwn.com/decks/194455-custom-deck-by-arabella-easy-to-play-and-win","Mage Cards","Polymorph

× 2","+3"
"Down","http://www.hearthpwn.com/decks/200809-down","Hunter Cards","Eaglehorn Bow

× 2","+3"
"Draw Draw Draw","http://www.hearthpwn.com/decks/184498-draw-draw-draw","Druid Cards","Youthful Brewmaster

× 2","+11"
"[LEGEND] Zuiurac's S11 MechMage","http://www.hearthpwn.com/decks/202967-legend-zuiuracs-s11-mechmage","Mage Cards","Tinkertown Technician

× 2","+5"
"Freeze-A Final Form (Voltron/Antonidas)","http://www.hearthpwn.com/decks/146661-freeze-a-final-form-voltron-antonidas","Mage Cards","Arcane Nullifier X-21

× 2","+8"
"Echo Mage","http://www.hearthpwn.com/decks/197254-echo-mage","Mage Cards","Dr. Boom

× 1","+3"
"[Spark] Deadly Zoo (S6)","http://www.hearthpwn.com/decks/100428-spark-deadly-zoo-s6","Hunter Cards","Hunter's Mark

× 2","+117"
"[GUIDE] Feeling Comfortable - How To Make the Oil Rogue Suit Your Style","http://www.hearthpwn.com/decks/200948-guide-feeling-comfortable-how-to-make-the-oil","Rogue Cards","Fan of Knives

× 2","+142"
"[Updated] Justsaiyan legend demonlock","http://www.hearthpwn.com/decks/187686-updated-justsaiyan-legend-demonlock","Warlock Cards","Hellfire

× 2","+16"
"[Brodos] GvG Control Paladin","http://www.hearthpwn.com/decks/144078-brodos-gvg-control-paladin","Paladin Cards","Sylvanas Windrunner

× 1","+57"
"[Brodos] Top 50 Legend Druid ""2 Is Better Than 1""","http://www.hearthpwn.com/decks/159991-brodos-top-50-legend-druid-2-is-better-than-1","Druid Cards","Innervate

× 2","+131"
"Anti-Cancer Warrior","http://www.hearthpwn.com/decks/200815-anti-cancer-warrior","Warrior Cards","Ragnaros the Firelord

× 1","+5"
"Bombs Away","http://www.hearthpwn.com/decks/183892-bombs-away","Priest Cards","Ancient Brewmaster

× 1","+10"
"Real Control Hunter (The Secret Way of Victory)","http://www.hearthpwn.com/decks/192028-real-control-hunter-the-secret-way-of-victory","Hunter Cards","Savannah Highmane

× 2","+13"
"GvG Control Hunter(Gahz'rilla)","http://www.hearthpwn.com/decks/124833-gvg-control-hunter-gahzrilla","Hunter Cards","Piloted Shredder

× 2","+3"
"Powder's Scary Stuff - Battle of the Best #3 (#1 - 2015)","http://www.hearthpwn.com/decks/187039-powders-scary-stuff-battle-of-the-best-3-1-2015","Warlock Cards","Ragnaros the Firelord

× 1","+3"
"Handy Shammy","http://www.hearthpwn.com/decks/45082-handy-shammy","Shaman Cards","Windfury

× 1","+4"
"TempoMace Shaman","http://www.hearthpwn.com/decks/174986-tempomace-shaman","Shaman Cards","Lightning Storm

× 2","+13"
"Powder's Scary Stuff - Battle of the Best #3 (#1 - 2015)","http://www.hearthpwn.com/decks/187039-powders-scary-stuff-battle-of-the-best-3-1-2015","Warlock Cards","Loatheb

× 1","+3"
"UberlyMaxxor's TheRogue","http://www.hearthpwn.com/decks/186210-uberlymaxxors-therogue","Rogue Cards","Sprint

× 1","+4"
"Mech Rogue - Top 50 NA","http://www.hearthpwn.com/decks/199736-mech-rogue-top-50-na","Rogue Cards","Iron Sensei

× 2","+19"
"Midrange is Back","http://www.hearthpwn.com/decks/203451-midrange-is-back","Shaman Cards","Haunted Creeper

× 2","+2"
"MaSsan's Hunter - Battle of the Best #3 (#1 - 2015)","http://www.hearthpwn.com/decks/187030-massans-hunter-battle-of-the-best-3-1-2015","Hunter Cards","Knife Juggler

× 2","+3"
"TOP 16 ESL #3 Europe VS China Qualifier Thufull Combo Druid","http://www.hearthpwn.com/decks/192480-top-16-esl-3-europe-vs-china-qualifier-thufull","Druid Cards","Dr. Boom

× 1","+5"
"Well Met! The Undead Tauntadin","http://www.hearthpwn.com/decks/193172-well-met-the-undead-tauntadin","Paladin Cards","Coghammer

× 1","+9"
"Gahz'rilla COMBO rank 4","http://www.hearthpwn.com/decks/202190-gahzrilla-combo-rank-4","Hunter Cards","Bloodmage Thalnos

× 1","+3"
"QuietPenguin's CONTROL PALADIN! Includes full writeup + Matchup Videos!","http://www.hearthpwn.com/decks/201447-quietpenguins-control-paladin-includes-full","Paladin Cards","Shielded Minibot

× 2","+30"
"[#4 LEGEND] Joster Paladin- anti meta deck","http://www.hearthpwn.com/decks/202399-4-legend-joster-paladin-anti-meta-deck","Paladin Cards","Truesilver Champion

× 2","+14"
"Crushing Overload Shaman","http://www.hearthpwn.com/decks/190672-crushing-overload-shaman","Shaman Cards","Sen'jin Shieldmasta

× 2","+10"
"Pvp's [RANK 8 TO LEGEND] EASY","http://www.hearthpwn.com/decks/169712-pvps-rank-8-to-legend-easy","Hunter Cards","Unleash the Hounds

× 2","+125"
"[Brodos] GvG Control Paladin","http://www.hearthpwn.com/decks/144078-brodos-gvg-control-paladin","Paladin Cards","Truesilver Champion

× 2","+57"
"Quarterbattlemaster","http://www.hearthpwn.com/decks/192944-quarterbattlemaster","Paladin Cards","Guardian of Kings

× 1","+3"
"Custom deck by arabella-easy to play and win","http://www.hearthpwn.com/decks/194455-custom-deck-by-arabella-easy-to-play-and-win","Mage Cards","Sylvanas Windrunner

× 1","+3"
"Savjz deck Rank 1 EU","http://www.hearthpwn.com/decks/190070-savjz-deck-rank-1-eu","Druid Cards","Mind Control Tech

× 1","+6"
"Secret Mage","http://www.hearthpwn.com/decks/188495-secret-mage","Mage Cards","Dr. Boom

× 1","+5"
"[EU LEGEND] Synapticon's Control Warrior","http://www.hearthpwn.com/decks/174020-eu-legend-synapticons-control-warrior","Warrior Cards","Brawl

× 1","+23"
"[VEIL] Budget Oil Vape","http://www.hearthpwn.com/decks/190426-veil-budget-oil-vape","Rogue Cards","Earthen Ring Farseer

× 2","+5"
"From the Shadows","http://www.hearthpwn.com/decks/160851-from-the-shadows","Rogue Cards","Annoy-o-Tron

× 1","+7"
"Meta Control Warrior my way","http://www.hearthpwn.com/decks/194442-meta-control-warrior-my-way","Warrior Cards","Alexstrasza

× 1","+10"
"Magiburst Zeus Shaman","http://www.hearthpwn.com/decks/139833-magiburst-zeus-shaman","Shaman Cards","Neptulon

× 1","+4"
"[LEGEND] Savjz Paladin","http://www.hearthpwn.com/decks/189952-legend-savjz-paladin","Paladin Cards","Muster for Battle

× 2","+4"
"[LEGEND] Murlocadin","http://www.hearthpwn.com/decks/185031-legend-murlocadin","Paladin Cards","Bluegill Warrior

× 2","+30"
"Paladin Titans","http://www.hearthpwn.com/decks/85885-paladin-titans","Paladin Cards","Truesilver Champion

× 2","+5"
"Polimorphisme","http://www.hearthpwn.com/decks/201564-polimorphisme","Mage Cards","Polymorph

× 2","+3"
"Dat Dogs Sprinting Token'Bold","http://www.hearthpwn.com/decks/150287-dat-dogs-sprinting-tokenbold","Rogue Cards","Kobold Geomancer

× 1","+3"
"[SSD] Miracle Mech Shaman","http://www.hearthpwn.com/decks/195316-ssd-miracle-mech-shaman","Shaman Cards","Questing Adventurer

× 1","+3"
"Max's Warrior - ESL Legendary Series Winter 2014/2015 Grand Finals","http://www.hearthpwn.com/decks/200786-maxs-warrior-esl-legendary-series-winter-2014-2015","Warrior Cards","Death's Bite

× 2","+5"
"OTK Warrior","http://www.hearthpwn.com/decks/196616-otk-warrior","Warrior Cards","Slam

× 2","+5"
"Sjow's Hobo Lock","http://www.hearthpwn.com/decks/195049-sjows-hobo-lock","Warlock Cards","Echoing Ooze

× 2","+10"
"F**k Your Cards.","http://www.hearthpwn.com/decks/201657-f-k-your-cards","Druid Cards","Grove Tender

× 2","+3"
"Killer! Rank 13 to rank 5 no losses","http://www.hearthpwn.com/decks/193521-killer-rank-13-to-rank-5-no-losses","Paladin Cards","Wild Pyromancer

× 1","+4"
"Real Control Hunter (The Secret Way of Victory)","http://www.hearthpwn.com/decks/192028-real-control-hunter-the-secret-way-of-victory","Hunter Cards","Illuminator

× 1","+13"
"Aggro Druid","http://www.hearthpwn.com/decks/161908-aggro-druid","Druid Cards","Power of the Wild

× 2","+4"
"Fun deathrattle hunter","http://www.hearthpwn.com/decks/202672-fun-deathrattle-hunter","Hunter Cards","Eaglehorn Bow

× 2","+3"
"Control Mage ezpz [Legend!]","http://www.hearthpwn.com/decks/197095-control-mage-ezpz-legend","Mage Cards","Mana Wyrm

× 2","+29"
"Fun deathrattle hunter","http://www.hearthpwn.com/decks/202672-fun-deathrattle-hunter","Hunter Cards","Hunter's Mark

× 1","+3"
"Echo Mage","http://www.hearthpwn.com/decks/197254-echo-mage","Mage Cards","Shade of Naxxramas

× 1","+3"
"Gore-splosion","http://www.hearthpwn.com/decks/182039-gore-splosion","Warlock Cards","Demolisher

× 1","+3"
"John Voukenas 2.0 Control Deck","http://www.hearthpwn.com/decks/197669-john-voukenas-2-0-control-deck","Priest Cards","Northshire Cleric

× 2","+4"
"Myztyrio's Control Mage","http://www.hearthpwn.com/decks/203165-myztyrios-control-mage","Mage Cards","Blizzard

× 1","+2"
"S11 Handlock tourny/eu ladder","http://www.hearthpwn.com/decks/194821-s11-handlock-tourny-eu-ladder","Warlock Cards","Antique Healbot

× 2","+5"
"SPIRIT's Legend Enrage Warrior GVG","http://www.hearthpwn.com/decks/196318-spirits-legend-enrage-warrior-gvg","Warrior Cards","Death's Bite

× 2","+5"
"trump paladin","http://www.hearthpwn.com/decks/200848-trump-paladin","Paladin Cards","Zombie Chow

× 2","+4"
"THEME DECK: Teenage Mutant Ninja Turtles","http://www.hearthpwn.com/decks/152611-theme-deck-teenage-mutant-ninja-turtles","Rogue Cards","Loatheb

× 1","+4"
"Iron Bite (Machine Hunter)","http://www.hearthpwn.com/decks/144607-iron-bite-machine-hunter","Hunter Cards","Junkbot

× 2","+3"
"Trump Teachings Paladin","http://www.hearthpwn.com/decks/190788-trump-teachings-paladin","Paladin Cards","Bloodfen Raptor

× 2","+5"
"NEW LEGEND Control meta priest (RIP undertaker)  Winrates included. *02/02/15*","http://www.hearthpwn.com/decks/185030-new-legend-control-meta-priest-rip-undertaker","Priest Cards","Lightbomb

× 1","+52"
"Xzirez: ""Control"" Hunter","http://www.hearthpwn.com/decks/190887-xzirez-control-hunter","Hunter Cards","Snipe

× 1","+41"
"[GUIDE] Feeling Comfortable - How To Make the Oil Rogue Suit Your Style","http://www.hearthpwn.com/decks/200948-guide-feeling-comfortable-how-to-make-the-oil","Rogue Cards","Sap

× 2","+142"
"Antimeta/ranking Priest","http://www.hearthpwn.com/decks/202586-antimeta-ranking-priest","Priest Cards","Velen's Chosen

× 2","+7"
"Damaged Goods","http://www.hearthpwn.com/decks/197160-damaged-goods","Warrior Cards","Bouncing Blade

× 2","+3"
"Legend Demon Zoolock | 75% Winrate into Legend","http://www.hearthpwn.com/decks/199296-legend-demon-zoolock-75-winrate-into-legend","Warlock Cards","Knife Juggler

× 2","+6"
"LEGEND (S9) Fire & Dragon","http://www.hearthpwn.com/decks/126698-legend-s9-fire-dragon","Hunter Cards","Arcane Shot

× 2","+9"
"Echo of Giants - Mage Handlock Deck","http://www.hearthpwn.com/decks/184094-echo-of-giants-mage-handlock-deck","Mage Cards","Frostbolt

× 2","+3"
"[Spark] Battle Master (S10)","http://www.hearthpwn.com/decks/149350-spark-battle-master-s10","Paladin Cards","Equality

× 2","+246"
"[LEGEND] Malfurion's Fatigue Deck","http://www.hearthpwn.com/decks/199212-legend-malfurions-fatigue-deck","Druid Cards","Tree of Life

× 1","+16"
"Anduin's Booty","http://www.hearthpwn.com/decks/170009-anduins-booty","Priest Cards","Shrinkmeister

× 2","+3"
"[LEGEND NA #36] Anti-meta Brewmaster Control Priest","http://www.hearthpwn.com/decks/197893-legend-na-36-anti-meta-brewmaster-control-priest","Priest Cards","Dr. Boom

× 1","+22"
"Rush Warrior","http://www.hearthpwn.com/decks/199901-rush-warrior","Warrior Cards","Cruel Taskmaster

× 1","+4"
"Grinder Mage","http://www.hearthpwn.com/decks/174793-grinder-mage","Mage Cards","Water Elemental

× 2","+13"
"Secret Roulette","http://www.hearthpwn.com/decks/105909-secret-roulette","Mage Cards","Spellbender

× 1","+4"
